Location_ID,Name,Class,Type,CD,Region,Slug,Latitude,Longitude,CoordSrc,Population_2021,PopSrc,SEO_Score,Defer_Reason
"MB-UNP-fairfield-park","Fairfield Park",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,fairfield-park,49.79750,-97.16500,CGN,3325,"GeoNames (census-derived)",55.1,"insufficient hyper-local signals (census cluster / minor locality)"
"MB-UNP-bruce-park","Bruce Park",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,bruce-park,49.87639,-97.21667,CGN,2105,"GeoNames (census-derived)",54.3,"insufficient hyper-local signals (census cluster / minor locality)"
"MB-UNP-parc-la-salle","Parc La Salle",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,parc-la-salle,49.76500,-97.15917,CGN,2360,"GeoNames (census-derived)",54.3,"insufficient hyper-local signals (census cluster / minor locality)"
"MB-UNP-birchwood","Birchwood",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,birchwood,49.87417,-97.25611,CGN,1890,"GeoNames (census-derived)",54,"insufficient hyper-local signals (census cluster / minor locality)"
"MB-UNP-richmond-lakes","Richmond Lakes",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,richmond-lakes,49.77083,-97.16500,CGN,1580,"GeoNames (census-derived)",53.5,"insufficient hyper-local signals (census cluster / minor locality)"
"MB-UNP-woodhaven","Woodhaven",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,woodhaven,49.87389,-97.27306,CGN,1035,"GeoNames (census-derived)",52.7,"insufficient hyper-local signals (census cluster / minor locality)"
"MB-UNP-st-jean-baptiste","St. Jean Baptiste",COMMUNITY,"Local Urban District",03,Pembina Valley,st-jean-baptiste,49.26556,-97.33972,CGN,563,"GeoNames (census-derived)",49.7,"score < 50"
"MB-4617029","Ebb and Flow 52",CSD,"Indian Reserve",17,Parkland,ebb-and-flow-52,51.03812,-99.06857,GeoNames,1608,"StatCan 98-10-0002",49.5,"score < 50"
"MB-4602027","Roseau River 2",CSD,"Community",02,Eastman,roseau-river-2,49.18417,-96.82556,CGN,564,"StatCan 98-10-0002",49.3,"score < 50"
"MB-4615067","Keeseekoowenin 61",CSD,"Community",15,Westman,keeseekoowenin-61,50.54444,-100.29861,CGN,472,"StatCan 98-10-0002",49,"score < 50"
