ID,Name,Class,Type,CD,Region,Parent,Slug,Lat,Lng,CoordSrc,Pop2021,Pop2016,Dwellings2021,LandKm2,PopSrc,DistWinnipegKM,DistBrandonKM,Score,Gate,DeferReason
MB-4611040,"Winnipeg",CSD,"City",11,Winnipeg Metro,,winnipeg,49.88444,-97.14639,CGN,749607,705244,315465,461.78,"StatCan 98-10-0002",1,201,78.3,BUILD,""
MB-4607062,"Brandon",CSD,"City",07,Westman,,brandon,49.84694,-99.95222,CGN,51313,48883,22526,79.04,"StatCan 98-10-0002",202,0,71.9,BUILD,""
MB-4602044,"Steinbach",CSD,"City",02,Eastman,,steinbach,49.52583,-96.68389,CGN,17806,16022,7092,37.56,"StatCan 98-10-0002",52,238,67.2,BUILD,""
MB-4613047,"Selkirk",CSD,"City",13,Interlake,,selkirk,50.14361,-96.88389,CGN,10504,10278,4643,24.47,"StatCan 98-10-0002",33,222,66.7,BUILD,""
MB-4609029,"Portage la Prairie",CSD,"City",09,Central Plains,,portage-la-prairie,49.97278,-98.29194,CGN,13270,13304,6109,24.72,"StatCan 98-10-0002",83,120,65.7,BUILD,""
MB-WPG-downtown-winnipeg,"Downtown Winnipeg",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,winnipeg,downtown-winnipeg,49.89556,-97.13861,Wikidata,66850,,,,"Wikidata P1082 (census-sourced)",0,202,65.5,BUILD,""
MB-4603050,"Winkler",CSD,"City",03,Pembina Valley,,winkler,49.18167,-97.94028,CGN,13745,12660,5239,20.73,"StatCan 98-10-0002",98,163,65.3,BUILD,""
MB-WPG-st-boniface,"St. Boniface",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,winnipeg,st-boniface,49.90000,-97.10000,Wikidata,58520,,,,"Wikidata P1082 (census-sourced)",3,204,65.1,BUILD,""
MB-4612047,"Springfield",CSD,"Rural Municipality",12,Eastman,,springfield,49.91667,-96.75000,CGN,16142,15342,5992,1096.17,"StatCan 98-10-0002",28,229,64.7,BUILD,""
MB-4613032,"East St. Paul",CSD,"Rural Municipality",13,Interlake,,east-st-paul,49.97722,-97.01028,CGN,9725,9372,3504,41.79,"StatCan 98-10-0002",13,211,64.2,BUILD,""
MB-WPG-west-kildonan,"West Kildonan",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,winnipeg,west-kildonan,49.93306,-97.11694,Wikidata,38555,,,,"Wikidata P1082 (census-sourced)",4,203,64.2,BUILD,""
MB-4602041,"Hanover",CSD,"Rural Municipality",02,Eastman,,hanover,49.46667,-96.83333,CGN,17216,15540,5305,730.44,"StatCan 98-10-0002",52,228,64.1,BUILD,""
MB-WPG-transcona,"Transcona",NEIGHBORHOOD,"Neighborhood",11,Winnipeg Metro,winnipeg,transcona,49.89560,-97.00530,Wikidata,36280,,,,"Wikidata P1082 (census-sourced)",10,211,63.9,BUILD,""
MB-4602069,"Taché",CSD,"Rural Municipality",02,Eastman,,tache,49.70000,-96.66667,CGN,11916,11568,4117,580.64,"StatCan 98-10-0002",40,236,63.8,BUILD,""
MB-4613043,"St. Andrews",CSD,"Rural Municipality",13,Interlake,,st-andrews,50.25000,-97.00000,CGN,11723,11913,4736,739.61,"StatCan 98-10-0002",41,215,63.7,BUILD,""
MB-4613056,"St. Clements",CSD,"Rural Municipality",13,Interlake,,st-clements,50.16417,-96.75056,CGN,11586,10876,5720,711.17,"StatCan 98-10-0002",41,231,63.7,BUILD,""
MB-4602075,"Ritchot",CSD,"Rural Municipality",02,Eastman,,ritchot,49.70417,-97.09083,CGN,7469,6679,2769,332.23,"StatCan 98-10-0002",22,206,63.4,BUILD,""
