Community_ID,Name,CGN_Generic,County,Region,Latitude,Longitude,Status,Defer_Reason,Data_Sources
NB-C-0001,Aboushagan Road,Locality,Westmorland,Greater Moncton & Southeast,45.98466,-64.352993,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0002,Acamac,Suburban Community,Saint John,Fundy & Greater Saint John,45.268425,-66.155591,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0003,Acton,Dispersed Rural Community,York,Capital & River Valley,45.741269,-66.959045,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0004,Adams Gulch,Dispersed Rural Community,Restigouche,Restigouche & Chaleur Bay,47.838616,-67.045851,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0005,Adamsville,Dispersed Rural Community,Kent,Greater Moncton & Southeast,46.396752,-65.184163,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0006,Albert Mines,Dispersed Rural Community,Albert,Greater Moncton & Southeast,45.876051,-64.666922,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0007,Albrights Corner,Locality,Sunbury,Capital & River Valley,46.022695,-66.189817,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0008,Alcida,Dispersed Rural Community,Gloucester,Acadian Peninsula & Chaleur,47.7706,-65.828996,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0009,Alderwood,Dispersed Rural Community,Gloucester,Acadian Peninsula & Chaleur,47.518885,-64.994844,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0010,Aldouane,Dispersed Rural Community,Kent,Greater Moncton & Southeast,46.624033,-65.056107,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0011,Alexandrina,Dispersed Rural Community,Kent,Greater Moncton & Southeast,46.31486,-64.785044,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0012,Allainville,Dispersed Rural Community,Northumberland,Miramichi River Region,47.3,-65.25,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0013,Allandale,Dispersed Rural Community,York,Capital & River Valley,45.903123,-67.29635,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0014,Allardville East,Dispersed Rural Community,Gloucester,Acadian Peninsula & Chaleur,47.500179,-65.389071,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0015,Allison,Dispersed Rural Community,Westmorland,Greater Moncton & Southeast,46.066667,-64.916667,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0016,Ammon,Dispersed Rural Community,Westmorland,Greater Moncton & Southeast,46.167894,-64.843641,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0017,Amostown,Dispersed Rural Community,Northumberland,Miramichi River Region,46.530401,-66.200626,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0018,Anagance,Dispersed Rural Community,Kings,Fundy & Greater Saint John,45.869882,-65.252585,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0019,Anagance Ridge,Dispersed Rural Community,Kings,Fundy & Greater Saint John,45.886599,-65.315874,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
NB-C-0020,Anderson Road,Dispersed Rural Community,Victoria,Northwest & Madawaska,46.866667,-67.5,DEFERRED,CGN locality without census population — fails real-population gate; candidate v2 neighborhood/community page where signals exist,NRCan CGN (OGL-Canada)
