Community_ID,Name,GeoNames_Code,Latitude,Longitude,GeoNames_Pop_Est,Nearest_Built,Nearest_Built_Km,Status,Reason,Data_Source
NB-GC-0001,Bailey,PPL,45.63343,-66.58217,98,fredericton-junction,4,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0002,Covered Bridge,PPL,46.2334,-66.61556,,fredericton,32,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0003,Gort,PPL,46.08345,-64.84877,,riverview,4,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0004,Harvey Station,PPL,45.73342,-66.99887,,hanwell,20,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0005,Mouth of Keswick,PPL,46.00011,-66.83218,,fredericton,14,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0006,New Market,PPL,45.846,-66.929,,hanwell,10,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0007,Miscou,PPL,47.94395,-64.57111,530,lameque,15,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0008,Scotch Mountain,PPLL,45.76139,-65.79306,,norton,13,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0009,Tobique Indian Reservation,PPL,46.7808,-67.7011,,grand-falls,30,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0010,Saint Margarets,PPL,46.90947,-65.20901,,miramichi,14,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0011,Harrison Brook,PPL,47.21304,-67.92847,,saint-andre,16,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0012,Evandale,PPL,45.5899,-66.03019,,hampton,15,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0013,Lower Greenwich,PPLL,45.438,-66.175,,grand-bay-westfield,12,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0014,Rowley,PPLL,45.33031,-65.75764,,rothesay,17,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0015,Baie du Petit-Pokemouche,PPL,47.70695,-64.73384,162,shippagan,3,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0016,Gloucester Junction,PPLL,47.56613,-65.64851,,bathurst,7,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0017,Pointe-Brûlée,PPLL,47.75567,-64.73041,221,shippagan,2,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0018,Saint-Simon,PPLL,47.73657,-64.84123,700,caraquet,9,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0019,Goodwin Mill,PPLL,47.50291,-65.63732,,bathurst,14,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0020,Middle River,PPLL,47.5798,-65.76736,,bathurst,12,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0021,Rosehill,PPLL,47.62093,-65.83368,,beresford,14,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0022,Maltempec,PPLL,47.67312,-64.9821,275,caraquet,11,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0023,Sainte Rose,PPLL,47.62123,-64.95496,,tracadie,12,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0024,McEwen,PPL,46.1452,-64.78615,1462,moncton,5,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0025,Baie Ste. Anne,PPL,47.05231,-64.95355,1319,miramichi,17,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0026,Fundy Bay,PPL,44.741,-66.76041,1167,grand-manan,7,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0027,Shediac Bridge-Shediac River,PPL,46.26886,-64.60047,1177,shediac,7,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0028,Greater Lakeburn,PPL,46.07651,-64.66818,1529,dieppe,2,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0029,Carlisle Road,PPL,45.98808,-66.75876,967,fredericton,9,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0030,Saint Irénée and Alderwood,PPL,47.49887,-64.98691,847,tracadie,6,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0031,Pepper Creek,PPL,45.95286,-66.59038,802,fredericton,6,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0032,Haut-Sheila,PPL,47.74639,-64.91151,752,caraquet,4,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0033,Evergreen Park,PPL,46.11307,-64.86358,674,moncton,5,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0034,Beardsley,PPL,46.12295,-67.61682,,woodstock,4,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
NB-GC-0035,Richibucto Road,PPL,45.95244,-66.57478,,fredericton,7,DEFERRED,GeoNames-only populated place (StatCan population centre or dispersed community) without standalone census-subdivision population — fails real-population gate,GeoNames CC-BY
