Location_ID,Location_Name,Type,Region,Pop_2021,Unified_Score,Tier,Bucket,Reason,Fix_Note
ON-0001,Toronto,City,Greater Toronto Area,2794356,81,A,BUILT_VERIFIED,,
ON-0002,Ottawa,City,Ottawa-Eastern,1017449,79,A,BUILT_VERIFIED,,
ON-0003,Mississauga,City,Greater Toronto Area,717961,77.6,A,BUILT_VERIFIED,,
ON-0004,Brampton,City,Greater Toronto Area,656480,77.1,A,BUILT_VERIFIED,,
ON-0005,Markham,City,Greater Toronto Area,338503,76,A,BUILT_VERIFIED,,
ON-0006,Vaughan,City,Greater Toronto Area,323103,76,A,BUILT_VERIFIED,,
ON-0007,Richmond Hill,City,Greater Toronto Area,202022,74.9,B,BUILT_VERIFIED,,
ON-0008,Burlington,City,Greater Toronto Area,186948,74,B,BUILT_VERIFIED,,
ON-0009,Oshawa,City,Greater Toronto Area,175383,73.9,B,BUILT_VERIFIED,,
ON-0010,Barrie,City,Grey-Bruce-Simcoe,147829,72.5,A,BUILT_VERIFIED,,
ON-0011,Guelph,City,Kitchener-Waterloo,143740,72.9,A,BUILT_VERIFIED,,
ON-0012,Kitchener,City,Kitchener-Waterloo,256885,73.4,A,BUILT_VERIFIED,,
ON-0013,St. Catharines,City,Hamilton-Niagara,136803,73.2,A,BUILT_VERIFIED,,
ON-0014,Brantford,City,Southwestern Ontario,104688,71.6,A,BUILT_VERIFIED,,
ON-0015,Cambridge,City,Kitchener-Waterloo,138479,72.5,A,BUILT_VERIFIED,,
ON-0016,London,City,Southwestern Ontario,422324,72.1,A,BUILT_VERIFIED,,
ON-0017,Pickering,City,Greater Toronto Area,99186,72.3,B,BUILT_VERIFIED,,
ON-0018,Waterloo,City,Kitchener-Waterloo,121436,71.8,B,BUILT_VERIFIED,,
ON-0019,Niagara Falls,City,Hamilton-Niagara,94415,71.1,A,BUILT_VERIFIED,,
ON-0020,Kawartha Lakes,City,Central Ontario,79247,70,B,BUILT_VERIFIED,,
ON-0021,Kingston,City,Eastern Ontario,132485,70.5,A,BUILT_VERIFIED,,
ON-0022,Peterborough,City,Central Ontario,83651,69.5,A,BUILT_VERIFIED,,
ON-0023,Welland,City,Hamilton-Niagara,55750,69.8,B,BUILT_VERIFIED,,
ON-0024,Clarence-Rockland,City,Ottawa-Eastern,26505,69.4,B,BUILT_VERIFIED,,
ON-0025,Cornwall,City,Ottawa-Eastern,47845,69.1,A,BUILT_VERIFIED,,
ON-0026,Thorold,City,Hamilton-Niagara,23816,68.5,B,BUILT_VERIFIED,,
ON-0027,Norfolk,City,Southwestern Ontario,67490,68,B,BUILT_VERIFIED,,
ON-0028,Orillia,City,Grey-Bruce-Simcoe,33411,67.9,B,BUILT_VERIFIED,,
ON-0029,Woodstock,City,Southwestern Ontario,46705,68,B,BUILT_VERIFIED,,
ON-0030,Belleville,City,Eastern Ontario,55071,67,A,BUILT_VERIFIED,,
ON-0031,Brant,City,Southwestern Ontario,39474,66.7,B,BUILT_VERIFIED,,
ON-0032,Brockville,City,Eastern Ontario,22116,67.4,B,BUILT_VERIFIED,,
ON-0033,Port Colborne,City,Hamilton-Niagara,20033,67.4,B,BUILT_VERIFIED,,
ON-0034,Prince Edward,City,Eastern Ontario,25704,66.5,B,BUILT_VERIFIED,,
ON-0035,Quinte West,City,Eastern Ontario,46560,67,B,BUILT_VERIFIED,,
ON-0036,Stratford,City,Southwestern Ontario,33232,67.1,B,BUILT_VERIFIED,,
ON-0037,Haldimand,City,Southwestern Ontario,49216,65.8,B,BUILT_VERIFIED,,
ON-0038,Pembroke,City,Ottawa-Eastern,14364,64.8,C,BUILT_VERIFIED,,
ON-0039,St. Thomas,City,Southwestern Ontario,42840,66.3,B,BUILT_VERIFIED,,
ON-0040,Windsor,City,Windsor-Essex,229660,66,A,BUILT_VERIFIED,,
ON-0041,Greater Sudbury,City,Northern Ontario,166004,65.1,A,BUILT_VERIFIED,,
ON-0042,Oakville,Town,Greater Toronto Area,213759,71.8,B,BUILT_VERIFIED,,
ON-0043,Owen Sound,City,Grey-Bruce-Simcoe,21612,65.3,B,BUILT_VERIFIED,,
ON-0044,Sarnia,City,Southwestern Ontario,72047,64.9,A,BUILT_VERIFIED,,
ON-0045,Ajax,Town,Greater Toronto Area,126666,70.7,B,BUILT_VERIFIED,,
ON-0046,Milton,Town,Greater Toronto Area,132979,70.5,B,BUILT_VERIFIED,,
ON-0047,Whitby,Town,Greater Toronto Area,138501,70.6,B,BUILT_VERIFIED,,
ON-0048,North Bay,City,Northern Ontario,52662,63.1,A,BUILT_VERIFIED,,
ON-0049,Aurora,Town,Greater Toronto Area,62057,68.1,B,BUILT_VERIFIED,,
ON-0050,Caledon,Town,Greater Toronto Area,76581,68.3,B,BUILT_VERIFIED,,
ON-0051,Halton Hills,Town,Greater Toronto Area,62951,68,B,BUILT_VERIFIED,,
ON-0052,Newmarket,Town,Greater Toronto Area,87942,68.6,B,BUILT_VERIFIED,,
ON-0053,Bradford West Gwillimbury,Town,Grey-Bruce-Simcoe,42880,67,B,BUILT_VERIFIED,,
ON-0054,New Tecumseth,Town,Grey-Bruce-Simcoe,43948,66.9,B,BUILT_VERIFIED,,
ON-0055,Whitchurch-Stouffville,Town,Greater Toronto Area,49864,67.8,B,BUILT_VERIFIED,,
ON-0056,Clarington,Municipality,Greater Toronto Area,101427,69.2,B,BUILT_VERIFIED,,
ON-0057,East Gwillimbury,Town,Greater Toronto Area,34637,66.5,B,BUILT_VERIFIED,,
ON-0058,Georgina,Town,Greater Toronto Area,47642,66.6,B,BUILT_VERIFIED,,
ON-0059,Grimsby,Town,Hamilton-Niagara,28883,66.2,B,BUILT_VERIFIED,,
ON-0060,Innisfil,Town,Grey-Bruce-Simcoe,43326,66.4,B,BUILT_VERIFIED,,
ON-0061,Orangeville,Town,Grey-Bruce-Simcoe,30167,65.9,B,BUILT_VERIFIED,,
ON-0062,Fort Erie,Town,Hamilton-Niagara,32901,65.4,B,BUILT_VERIFIED,,
ON-0063,Lincoln,Town,Hamilton-Niagara,25719,65.9,B,BUILT_VERIFIED,,
ON-0064,Mississippi Mills,Town,Eastern Ontario,14740,64,C,BUILT_VERIFIED,,
ON-0065,Thunder Bay,City,Northern Ontario,108843,59.4,A,BUILT_VERIFIED,,
ON-0066,Carleton Place,Town,Eastern Ontario,12517,63.7,C,BUILT_VERIFIED,,
ON-0067,Cobourg,Town,Central Ontario,20519,64,B,BUILT_VERIFIED,,
ON-0068,Collingwood,Town,Grey-Bruce-Simcoe,24811,64,B,BUILT_VERIFIED,,
ON-0069,Erin,Town,Kitchener-Waterloo,11981,63.3,C,BUILT_VERIFIED,,
ON-0070,Greater Napanee,Town,Eastern Ontario,16879,63.2,C,BUILT_VERIFIED,,
ON-0071,King,Township,Greater Toronto Area,27333,66.2,B,BUILT_VERIFIED,,
ON-0072,Pelham,Town,Hamilton-Niagara,18192,63.8,C,BUILT_VERIFIED,,
ON-0073,Russell,Township,Ottawa-Eastern,19598,65,C,BUILT_VERIFIED,,
ON-0074,Sault Ste. Marie,City,Northern Ontario,72051,57.6,A,BUILT_VERIFIED,,
ON-0075,Wasaga Beach,Town,Grey-Bruce-Simcoe,24862,64.2,B,BUILT_VERIFIED,,
